"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
0,0.8,1,0.6,0,0,0.8,0.6,0.6,1,1,0,0,0,0.6,0.75,0.714285714,0
0.8,0,0.8,1,0.6,0.8,1,0.6,0.6,0,1,1,1,0.6,0.8,1,1,0.6
1,0.8,0,1,0.428571429,0.571428571,0.428571429,0,0.571428571,0,0.5,0.428571429,0.571428571,0.428571429,0.6,0.5,1,0.428571429
0.6,1,1,0,0,0.285714286,0.285714286,0.571428571,0.333333333,0,0.5,0.4,0,0,0,0.5,0.142857143,0
0,0.6,0.428571429,0,0,0,0,0,1,0,0,0,0,0,0.6,0,0.857142857,0
0,0.8,0.571428571,0.285714286,0,0,0,1,0.5,0,1,0,0.4,0,0.6,0.75,0.857142857,0
0.8,1,0.428571429,0.285714286,0,0,0,0,0.333333333,1,0.428571429,1,1,0,0.8,0.5,1,0
0.6,0.6,0,0.571428571,0,1,0,0,0.666666667,0,0.5,0,0.4,0,0.6,0.5,0.857142857,0
0.6,0.6,0.571428571,0.333333333,1,0.5,0.333333333,0.666666667,0,0.666666667,0.5,0.4,0.4,0.333333333,0.666666667,0.75,1,0.666666667
1,0,0,0,0,0,1,0,0.666666667,0,0.333333333,1,0.666666667,0,0.4,0.5,0.571428571,0
1,1,0.5,0.5,0,1,0.428571429,0.5,0.5,0.333333333,0,0.5,0.75,0.5,0.8,1,0.857142857,0
0,1,0.428571429,0.4,0,0,1,0,0.4,1,0.5,0,1,0,0.6,0.5,1,0
0,1,0.571428571,0,0,0.4,1,0.4,0.4,0.666666667,0.75,1,0,0,1,1,1,0
0,0.6,0.428571429,0,0,0,0,0,0.333333333,0,0.5,0,0,0,1,0.5,0.285714286,0
0.6,0.8,0.6,0,0.6,0.6,0.8,0.6,0.666666667,0.4,0.8,0.6,1,1,0,1,0.8,0.6
0.75,1,0.5,0.5,0,0.75,0.5,0.5,0.75,0.5,1,0.5,1,0.5,1,0,1,0.75
0.714285714,1,1,0.142857143,0.857142857,0.857142857,1,0.857142857,1,0.571428571,0.857142857,1,1,0.285714286,0.8,1,0,0.571428571
0,0.6,0.428571429,0,0,0,0,0,0.666666667,0,0,0,0,0,0.6,0.75,0.571428571,0
